#palavra;dica
suricato;animal
fandango;baile
filantropo;caridade
filaucioso;qualidades
idiossincrasia;comportamento
amigo;companheiro
animal;criatura
banana;fruta
bicicleta;transporte
bola;esfera
branco;cor
cachorro;pet
cadeira;descanso
carro;transporte
casa;lar
chocolate;doce
cidade;local
coelho;animal
computador;dispositivo
dinheiro;moeda
elefante;animal
escola;ensino
escuro;claro
esporte;atividade
família;parentes
feira;mercado
felicidade;alegria
fogo;chama
frio;temperatura
gato;felino
gelado;frio
guitarra;instrumento
inverno;frio
janela;abertura
jardim;local
luz;claro
magia;truque
mochila;bolsa
montanha;alto
morango;fruta
namorado;parceiro
natureza;ambiente
nave;planetas
ninho;lar
noite;escuro
navio;oceano
onda;movimento
parque;pracinha
passarinho;ave
peixe;animal
piano;instrumento
pintura;arte
piscina;local
planeta;mundo
porta;entrada
prima;parente
quadrado;forma
rainha;monarca
rio;lago
rosa;flor
segredo;desconhecido
sorvete;sobremesa
sorriso;dentes
terra;planeta
tesouro;riqueza
tigre;felino
tristeza;choro
uva;fruta
viagem;jornada
vida;morte
viola;instrumento
xadrez;jogo
zebra;listras
abacaxi;fruta
aeroporto;terminal
amendoim;noz
bolsa;sacola
cachecol;roupa
calor;temperatura
casaco;agasalho
castelo;fortaleza
cereja;fruta
coelho;animal
cozinha;sala
deserto;paisagem
dinossauro;animal
escova;dentes
espelho;vidro
foguete;planetas
floresta;bosque
girafa;animal
gravata;roupa
guarda-chuva;molhado
lanche;comida
lima;fruta
lousa;quadro
otorrinolaringologista;doutor
molinete;dispositivo
